,SMILES,logLD50,sigma,n_obs,SMILES_CANON,scaffold
3556,CCOCCC(=O)OCC,3.6989700043360187,0.001,1,CCOCCC(=O)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2880>
3557,CCOCCC(C)CCC=C(C)C,3.6989700043360187,1.001,1,CCOCCC(C)CCC=C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee28f0>
3558,CCOCCC(OCC)OCC,3.2041199826559246,0.001,1,CCOCCC(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2960>
3559,CCOCCC1=C(C)C(C)=C(OCCN=C2NC=NC(CC)=C2Cl)C=C1,2.060697840353612,0.001,1,CCOCCc1ccc(OCCN=c2[nH]cnc(CC)c2Cl)c(C)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee29d0>
3560,CCOCCCCO,3.6020599913279625,0.001,1,CCOCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2a40>
3561,CCOCCCO,3.845098040014257,0.001,1,CCOCCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2ab0>
3562,CCOCCCOC(=O)C=C,2.9138138523837167,0.001,1,C=CC(=O)OCCCOCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2b20>
3563,CCOCCN(C(=O)CCl)C(=C(C)C)C1=CC=CC=C1,2.9925535178321354,0.001,1,CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2b90>
3564,CCOCCO,3.3273589343863303,0.20737240404480478,5,CCOCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2c00>
3565,CCOCCOC(=O)C(C)OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1,2.714329759745233,0.001,1,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2c70>
3566,CCOCCOC(=O)C=C,3.0293837776852097,0.001,1,C=CC(=O)OCCOCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2ce0>
3567,CCOCCOC(C)=O,3.5267313024627276,0.11082813442046648,4,CCOCCOC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2d50>
3568,CCOCCOCC,3.6424645202421213,0.001,1,CCOCCOCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2dc0>
3569,CCOCCOCC(C)O,3.9698816437465,0.001,1,CCOCCOCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2e30>
3571,CCOCCOCCOC(C)OC1=CC=C2OCOC2=C1,3.3010299956639813,0.001,1,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2f10>
3572,CCOCCOCCOC1=CC=CC=C1,3.330413773349191,0.001,1,CCOCCOCCOc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee2f80>
3574,CCOCCOCCOCCO,3.9773623954895316,0.0607822596483137,4,CCOCCOCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3060>
3575,CCOCCOCCOCCOC(=O)C(C)=C,3.3010299956639813,1.001,1,C=C(C)C(=O)OCCOCCOCCOCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee30d0>
3578,CCOCN(C(=O)CO)C1=C(CC)C=CC=C1C,3.380211241711606,0.001,1,CCOCN(C(=O)CO)c1c(C)cccc1CC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3220>
3579,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,2.775078696051668,0.5258079113651403,6,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3290>
3580,CCOCOC1CCCCCCCCCCC1,3.6989700043360187,1.001,1,CCOCOC1CCCCCCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3300>
3581,CCOC[C@@H]1CO[C@](CN2C=CN=C2)(O1)C1=CC2=CC(Cl)=CC(Cl)=C2O1,3.0,1.001,1,CCOC[C@@H]1CO[C@@](Cn2ccnc2)(c2cc3cc(Cl)cc(Cl)c3o2)O1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3370>
3582,CCOC[C@H]1CO[C@](CN2C=CN=C2)(O1)C1=CC2=CC(Cl)=CC(Cl)=C2O1,3.0,1.001,1,CCOC[C@H]1CO[C@@](Cn2ccnc2)(c2cc3cc(Cl)cc(Cl)c3o2)O1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee33e0>
3584,CCOC[C@H]1CO[C@](CN2C=NC=N2)(O1)C1=CC2=CC=CC=C2O1,3.0,1.001,1,CCOC[C@H]1CO[C@@](Cn2cncn2)(c2cc3ccccc3o2)O1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee34c0>
3585,CCON=C(CC)C1=C(O)CC(CC1=O)C1=C(C)C=C(C)C=C1C,3.0461174306668872,0.0767705544367937,2,CCON=C(CC)C1=C(O)CC(c2c(C)cc(C)cc2C)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3530>
3586,CCOP(=O)(CC(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1)OCC,3.3010299956639813,1.001,1,CCOP(=O)(CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee35a0>
3587,CCOP(=O)(CC)OCC,3.367355921026019,0.001,1,CCOP(=O)(CC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3610>
3588,CCOP(=O)(CC)SC1=CC=C(Cl)C=C1,0.7634279935629372,0.001,1,CCOP(=O)(CC)Sc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3680>
3589,CCOP(=O)(CC)SC1=CC=CC=C1,0.43933269383026263,0.001,1,CCOP(=O)(CC)Sc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee36f0>
3590,CCOP(=O)(CC)SCC,0.8864907251724818,0.001,1,CCOP(=O)(CC)SCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3760>
3591,CCOP(=O)(CC)SCSCSP(=O)(CC)OCC,0.2304489213782739,0.001,1,CCOP(=O)(CC)SCSCSP(=O)(CC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee37d0>
3592,CCOP(=O)(CC1=CC=C(C=C1)C1=NC2=CC=CC=C2S1)OCC,3.1917303933628562,0.001,1,CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3840>
3593,CCOP(=O)(CCCl)OCC,3.0,0.001,1,CCOP(=O)(CCCl)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee38b0>
3594,CCOP(=O)(CN(CCO)CCO)OCC,3.6989700043360187,1.001,1,CCOP(=O)(CN(CCO)CCO)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3920>
3595,CCOP(=O)(NC(=S)NC1=CC=CC=C1NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1)OCC,2.103803720955957,0.001,1,CCOP(=O)(NC(=S)Nc1ccccc1NC(=O)NS(=O)(=O)c1ccc(C)cc1)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3990>
3596,CCOP(=O)(NC(C)C)SCC(O)=NCOC,2.0,0.001,1,CCOP(=O)(NC(C)C)SCC(O)=NCOC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3a00>
3597,CCOP(=O)(OC1=C(Cl)C=C(Cl)C=C1)OC1=C(Cl)C=C(Cl)C=C1,3.792391689498254,0.001,1,CCOP(=O)(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3a70>
3598,CCOP(=O)(OC1=CC=C(C=C1)N(=O)=O)SCC,1.252853030979893,0.001,1,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3ae0>
3599,CCOP(=O)(OC=C)OC(CCl)C1=CC(Cl)=C(Cl)C=C1Cl,3.041392685158225,0.001,1,C=COP(=O)(OCC)OC(CCl)c1cc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3b50>
3600,CCOP(=O)(OCC(Cl)CCl)OC=C(Cl)Cl,1.8195439355418688,0.001,1,CCOP(=O)(OC=C(Cl)Cl)OCC(Cl)CCl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3bc0>
3601,CCOP(=O)(OCC)C(O)(C(F)F)C(F)F,0.5314789170422551,0.001,1,CCOP(=O)(OCC)C(O)(C(F)F)C(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3c30>
3602,CCOP(=O)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,0.8603380065709937,0.001,1,CCOP(=O)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3ca0>
3603,CCOP(=O)(OCC)C(SCC)(SC1=CC=CC=C1)P(=O)(OCC)OCC,1.380211241711606,0.001,1,CCOP(=O)(OCC)C(SCC)(Sc1ccccc1)P(=O)(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3d10>
3605,CCOP(=O)(OCC)N(SN(C)C(=O)ON=C(C)SC)C(C)C,2.0,0.001,1,CCOP(=O)(OCC)N(SN(C)C(=O)ON=C(C)SC)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3df0>
3606,CCOP(=O)(OCC)N=C1SCS1,0.8864907251724818,1.0729671208690372,9,CCOP(=O)(N=C1SCS1)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3e60>
3607,CCOP(=O)(OCC)OC(=C(Br)Br)C1=C(Cl)C=C(Cl)C=C1,1.8926510338773004,0.001,1,CCOP(=O)(OCC)OC(=C(Br)Br)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee3ed0>
3609,CCOP(=O)(OCC)OC(=C(Cl)Cl)C1=CC(Cl)=CC(Cl)=C1,1.3010299956639813,0.001,1,CCOP(=O)(OCC)OC(=C(Cl)Cl)c1cc(Cl)cc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4040>
3610,CCOP(=O)(OCC)OC(=C)C1=C(Cl)C=C(Cl)C=C1,3.184691430817599,0.001,1,C=C(OP(=O)(OCC)OCC)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee40b0>
3611,CCOP(=O)(OCC)OC(=CBr)C1=C(Cl)C=C(Cl)C=C1,1.3304137733491908,0.001,1,CCOP(=O)(OCC)OC(=CBr)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4120>
3612,CCOP(=O)(OCC)OC(=CCl)C1=CC(Cl)=CC=C1Cl,1.5440680443502757,0.001,1,CCOP(=O)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4190>
3613,CCOP(=O)(OCC)OC(C)=CC(=O)OC(C)C1=CC=CC=C1,1.8129133566428555,0.001,1,CCOP(=O)(OCC)OC(C)=CC(=O)OC(C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4200>
3614,CCOP(=O)(OCC)OC1=CC(=O)N(CC)C(C)=C1,0.20951501454263097,0.001,1,CCOP(=O)(OCC)Oc1cc(C)n(CC)c(=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4270>
3615,CCOP(=O)(OCC)OC1=CC(=O)OC(C)=C1,0.5237464668115644,0.001,1,CCOP(=O)(OCC)Oc1cc(C)oc(=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee42e0>
3616,CCOP(=O)(OCC)OC1=CC(C)=C(C=C1)S(C)(=O)=O,0.909983694939844,0.001,1,CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4350>
3617,CCOP(=O)(OCC)OC1=CC2=C(C=C1)C(C)=CC(=O)O2,1.462397997898956,0.001,1,CCOP(=O)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee43c0>
3618,CCOP(=O)(OCC)OC1=CC=C(C=C1)S(C)(=O)=O,0.7000110623221123,0.001,1,CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4430>
3620,CCOP(=O)(OCC)OC1=CC=C(N)C=C1,3.0,0.001,1,CCOP(=O)(OCC)Oc1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4510>
3621,CCOP(=O)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,2.130333768495006,0.001,1,CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4580>
3622,CCOP(=O)(OCC)OC=C(SCC)SCC,1.1760912590556813,0.001,1,CCOP(=O)(OC=C(SCC)SCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee45f0>
3624,CCOP(=O)(OCC)OCC,3.135222954008981,0.06989702864694347,2,CCOP(=O)(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee46d0>
3625,CCOP(=O)(OCC)OCN1C(=O)OC2=C1C=CC(Cl)=C2,1.5440680443502757,0.001,1,CCOP(=O)(OCC)OCn1c(=O)oc2cc(Cl)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4740>
3626,CCOP(=O)(OCC)ON1C(=O)C2=CC=CC3=C2C(=CC=C3)C1=O,1.845098040014257,0.001,1,CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee47b0>
3628,CCOP(=O)(OCC)SC,1.6730209071288962,0.001,1,CCOP(=O)(OCC)SC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4890>
3630,CCOP(=O)(OCC)SC(C)C,2.2528530309798933,0.001,1,CCOP(=O)(OCC)SC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4970>
3631,CCOP(=O)(OCC)SC(Cl)C(Cl)Cl,0.3979400086720376,0.001,1,CCOP(=O)(OCC)SC(Cl)C(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee49e0>
3632,CCOP(=O)(OCC)SC(P(=O)(OCC)OCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,1.4471580313422192,0.001,1,CCOP(=O)(OCC)SC(P(=O)(OCC)OCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4a50>
3633,CCOP(=O)(OCC)SC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,2.9661417327390325,0.001,1,CCOP(=O)(OCC)Sc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4ac0>
3634,CCOP(=O)(OCC)SC=C(Cl)Cl,0.24303804868629444,0.001,1,CCOP(=O)(OCC)SC=C(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4b30>
3635,CCOP(=O)(OCC)SCC,1.4313637641589874,0.001,1,CCOP(=O)(OCC)SCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4ba0>
3636,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N,0.5440680443502757,0.001,1,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4c10>
3637,CCOP(=O)(OCC)SCC1(C)SCCS1,1.4471580313422192,0.001,1,CCOP(=O)(OCC)SCC1(C)SCCS1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4c80>
3638,CCOP(=O)(OCC)SCCC(F)=C(F)F,1.8325089127062364,0.001,1,CCOP(=O)(OCC)SCCC(F)=C(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4cf0>
3639,CCOP(=O)(OCC)SCCN(CC)CC,0.7323937598229685,0.17889535982273322,3,CCOP(=O)(OCC)SCCN(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4d60>
3640,CCOP(=O)(OCC)SCCS(=O)(=O)CC,0.2787536009528289,0.001,1,CCOP(=O)(OCC)SCCS(=O)(=O)CC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4dd0>
3641,CCOP(=O)(OCC)SCCSCC,0.17609125905568124,0.001,1,CCOP(=O)(OCC)SCCSCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4e40>
3643,CCOP(=O)(OCC)SCN1N=C(C)C=CC1=O,0.8129133566428556,0.001,1,CCOP(=O)(OCC)SCn1nc(C)ccc1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4f20>
3644,CCOP(=O)(OCC)SCN1N=C(C)OC1=O,0.0,0.001,1,CCOP(=O)(OCC)SCn1nc(C)oc1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee4f90>
3645,CCOP(=O)(OCC)SCN1N=C(Cl)C(C)=CC1=O,1.4313637641589874,0.001,1,CCOP(=O)(OCC)SCn1nc(Cl)c(C)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5000>
3646,CCOP(=O)(OCC)SCN1N=CC=CC1=O,0.3010299956639812,0.001,1,CCOP(=O)(OCC)SCn1ncccc1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5070>
3647,CCOP(=O)(OCC)SCSC1=C(Cl)C=CC(Cl)=C1,1.5797835966168101,0.001,2,CCOP(=O)(OCC)SCSc1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee50e0>
3648,CCOP(=O)(OCC)SCSP(=S)(OCC)OCC,1.5455545072340648,0.001,1,CCOP(=O)(OCC)SCSP(=S)(OCC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5150>
3650,CCOP(=O)(SC(C)CC)N1CCSC1=O,1.863322860120456,0.517757899544916,5,CCOP(=O)(SC(C)CC)N1CCSC1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5230>
3651,CCOP(=O)(SC1=CC=CC=C1)SC1=CC=CC=C1,2.0,0.001,1,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee52a0>
3653,CCOP(=S)(CC)OC1=C(Cl)C=C(C=C1)N(=O)=O,1.3617278360175928,0.001,1,CCOP(=S)(CC)Oc1ccc([N+](=O)[O-])cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5380>
3654,CCOP(=S)(CC)OC1=C(Cl)C=C(Cl)C(Cl)=C1,1.389075625191822,0.7287422656205961,4,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee53f0>
3655,CCOP(=S)(CC)OC1=C(Cl)C=C(Cl)C=C1,1.3979400086720377,0.001,1,CCOP(=S)(CC)Oc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5460>
3656,CCOP(=S)(CC)OC1=C(Cl)C=CC(Cl)=C1,1.2787536009528289,0.001,1,CCOP(=S)(CC)Oc1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee54d0>
3657,CCOP(=S)(CC)OC1=CC=C(C=C1)S(C)=O,0.3979400086720376,0.001,1,CCOP(=S)(CC)Oc1ccc(S(C)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5540>
3658,CCOP(=S)(CC)OC1=CC=C(Cl)C=C1,1.9777236052888478,0.001,2,CCOP(=S)(CC)Oc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee55b0>
3659,CCOP(=S)(CC)SC1=CC=C(C=C1)C(C)(C)C,2.1492191126553797,0.001,1,CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5620>
3660,CCOP(=S)(CC)SC1=CC=C(Cl)C(C)=C1,0.6334684555795865,0.001,1,CCOP(=S)(CC)Sc1ccc(Cl)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5690>
3662,CCOP(=S)(CC)SCN1C(=O)C2=CC=CC=C2C1=O,1.146128035678238,0.001,1,CCOP(=S)(CC)SCN1C(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5770>
3663,CCOP(=S)(CC)SCOC1=C(Cl)C=C(Cl)C=C1,2.0492180226701815,0.001,1,CCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee57e0>
3665,CCOP(=S)(CC)SCSCSP(=S)(CC)OCC,0.36172783601759284,0.001,1,CCOP(=S)(CC)SCSCSP(=S)(CC)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee58c0>
3666,CCOP(=S)(CCl)OC1=CC=C(C=C1)N(=O)=O,2.103803720955957,0.001,1,CCOP(=S)(CCl)Oc1ccc([N+](=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5930>
3667,CCOP(=S)(CCl)SC1=CC=C(C)C=C1,2.526339277389844,0.001,1,CCOP(=S)(CCl)Sc1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee59a0>
3668,CCOP(=S)(NC(C)C)OC1=C(C=C(C)C=C1)N(=O)=O,2.8573324964312685,0.001,1,CCOP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5a10>
3669,CCOP(=S)(NC)OC1=CC(C)=C(SC)C=C1,0.6989700043360189,0.001,1,CCOP(=S)(NC)Oc1ccc(SC)c(C)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5a80>
3670,CCOP(=S)(OC(C)C)ON1C(=O)C2=CC=CC=C2C1=O,2.3979400086720375,0.001,1,CCOP(=S)(OC(C)C)ON1C(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5af0>
3672,CCOP(=S)(OC)OC1=CC=C(C=C1)N(=O)=O,0.4548448600085102,0.001,1,CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5bd0>
3673,CCOP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,1.6989700043360187,0.001,1,CCOP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5c40>
3674,CCOP(=S)(OC1=C2N=CC=CC2=CC=C1)C1=CC=CC=C1,2.1760912590556813,0.001,1,CCOP(=S)(Oc1cccc2cccnc12)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5cb0>
3675,CCOP(=S)(OC1=CC=C(C=C1)C#N)C1=CC=CC=C1,1.4548448600085102,0.001,1,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5d20>
3676,CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1,0.9030899869919435,0.3234664390912944,3,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5d90>
3677,CCOP(=S)(OC1=CC=C(C=C1)[N+]([O-])=O)OC1=CC=C(C=C1)[N+]([O-])=O,1.825426117767823,0.001,1,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5e00>
3678,CCOP(=S)(OCC)C1=CC=CC=C1,2.6532125137753435,1.001,1,CCOP(=S)(OCC)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5e70>
3679,CCOP(=S)(OCC)N(SN(C)C(=O)ON=C(C)SC)C(C)C,2.5118833609788744,0.001,1,CCOP(=S)(OCC)N(SN(C)C(=O)ON=C(C)SC)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5ee0>
3680,CCOP(=S)(OCC)N(SN(C)C(=O)ON=C(C)SC)C1CCCCC1,2.0,1.001,1,CCOP(=S)(OCC)N(SN(C)C(=O)ON=C(C)SC)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5f50>
3681,CCOP(=S)(OCC)N1C(=O)C2=C(C=CC=C2)C1=O,3.69284691927723,0.001,1,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee5fc0>
3682,CCOP(=S)(OCC)N=C1SCCS1,1.146128035678238,0.001,1,CCOP(=S)(N=C1SCCS1)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6030>
3684,CCOP(=S)(OCC)OC(=C/Cl)C1=C(Cl)C=C(Cl)C=C1,1.0,0.001,1,CCOP(=S)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6110>
3685,CCOP(=S)(OCC)OC(C)=CC(=O)OC,-0.8538719643217619,0.001,1,CCOP(=S)(OCC)OC(C)=CC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6180>
3686,CCOP(=S)(OCC)OC(C)C,3.0,0.001,1,CCOP(=S)(OCC)OC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee61f0>
3687,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,0.3010299956639812,0.19193445563565228,3,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6260>
3688,CCOP(=S)(OCC)OC1=C(Cl)C=C(Br)C(Cl)=C1,1.7160033436347992,0.9101786377158948,3,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee62d0>
3689,CCOP(=S)(OCC)OC1=C(Cl)C=C(C=C1)[N+]([O-])=O,1.0,0.001,1,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6340>
3690,CCOP(=S)(OCC)OC1=C(OC)C(=O)N(C)N=C1,0.3979400086720376,0.001,1,CCOP(=S)(OCC)Oc1cnn(C)c(=O)c1OC,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee63b0>
3692,CCOP(=S)(OCC)OC1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.0,0.001,1,CCOP(=S)(OCC)Oc1ccc(Cl)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8ee6490>
